Film,Developer,Dilution,ISO,35MM,120,Sheet,Temp,Notes
Efke 50,Diafine,stock,50,4+4,4+4,4+4,20C,<a href="devchart.php?devrow=5478">[notes]</a>
Efke 50,DK-50,1+1,50,5:30,5:30,5:30,20C,
Efke 50,Eco Pro,stock,50,8,8,8,20C,
Efke 50,Eco Pro,1+1,50,10,10,10,20C,
Efke 50,Emofin,stock,50,2:30+2:30,2:30+2:30,2:30+2:30,20C,
Efke 50,Emofin,stock,64,5+5,5+5,5+5,20C,
Efke 50,Finol,1+1+100,50,10,10,10,24C,
Efke 50,Fomadon LQN,1+10,50,7,7,7,20C,
Efke 50,Fomadon R09,1+100,50,19,19,19,20C,
Efke 50,FX-39,1+9,50,5:30,5:30,5:30,20C,<a href="devchart.php?devrow=585">[notes]</a>
Efke 50,HC-110,B,50,7,7,7,20C,<a href="devchart.php?devrow=5561">[notes]</a>
Efke 50,Hubl Glycin Paste,1+60,80,16,16,16,21C,
Efke 50,ID-11,1+1,40,5:15,5:15,5:15,20C,
Efke 50,ID-11,stock,50,6:30,6:30,6:30,20C,
Efke 50,ID-11,1+1,50,8,8,8,20C,
Efke 50,ID-11,stock,100(50),7,7,7,20C,<a href="devchart.php?devrow=586">[notes]</a>
Efke 50,ID-11,1+1,100(50),12,12,12,20C,<a href="devchart.php?devrow=587">[notes]</a>
Efke 50,ID-68,stock,50,6,6,6,20C,
Efke 50,Marathon,1+9,100,6:30,6:30,6:30,20C,
Efke 50,Neofin Blue,stock,50,4,4,4,20C,<a href="devchart.php?devrow=591">[notes]</a>
Efke 50,Neofin Blue,stock,50,8-9,8-9,8-9,20C,<a href="devchart.php?devrow=5091">[notes]</a>
Efke 50,PMK,1+2+100,50,8,8,7:30,20C,<a href="devchart.php?devrow=8202">[notes]</a>
Efke 50,Pyrocat-HD,1+1+100,50,14,14,14,20C,
Efke 50,Rodinal,1+25,50,6,6,6,20C,
Efke 50,Rodinal,1+50,50,9,9,9,20C,
Efke 50,Rodinal,1+100,50,18,18,18,20C,
Efke 50,Sprint Standard,1+9,50,8:30,8:30,8:30,20C,
Efke 50,Spur SD 2525,1+12,25,3-3:30,3-3:30,3-3:30,20C,
Efke 50,Tanol,1+1+100,32,12,12,12,22C,<a href="devchart.php?devrow=4752">[notes]</a>
Efke 50,TMax Dev,1+4,50,6,6,6,20C,
Efke 50,TMax RS,stock,50,5,5,5,20C,
Efke 50,Ultrafin,1+10,40,2,2,2,20C,<a href="devchart.php?devrow=601">[notes]</a>
Efke 50,Ultrafin,1+10,40,3:30,3:30,3:30,20C,
Efke 50,Ultrafin,1+20,40,7,7,7,20C,
Efke 50,Ultrafin,1+20,40,2:30,2:30,2:30,20C,<a href="devchart.php?devrow=603">[notes]</a>
Efke 50,Ultrafin,1+30,40,12,12,12,20C,
Efke 50,Ultrafin,1+30,40,3:30,3:30,3:30,20C,<a href="devchart.php?devrow=605">[notes]</a>
Efke 50,WD2D+,stock,50,10,10,10,20C,
Efke 50,XT-3,stock,50,8,8,8,20C,
Efke 50,XT-3,1+1,50,10,10,10,20C,
Efke 50,Xtol,stock,50,8,8,8,20C,
Efke 50,Xtol,1+1,50,10,10,10,20C,
Efke 100,510-Pyro,1+100,100,7:45,7:45,7:45,20C,
Efke 100,510-Pyro,1+100,100,6,6,6,21C,<a href="devchart.php?devrow=9304">[notes]</a>
Efke 100,ABC Pyro,stock,100,6,6,6,20C,
Efke 100,Acufine,stock,250,3:15,3:15,3:15,20C,
Efke 100,Acurol-N,1+50,50,9:30,9:30,9:30,20C,<a href="devchart.php?devrow=9683">[notes]</a>
Efke 100,Amaloco AM74,1+15,100,7:30,7:30,7:30,20C,
Efke 100,Atomal 49,stock,100,8,8,8,20C,
Efke 100,Atomal 49,1+1,100,12,12,12,20C,
Efke 100,Atomal 49,1+2,100,15,15,15,20C,
Efke 100,D-76,stock,100,7,7,7,20C,
Efke 100,D-76,1+1,100,10,10,10,20C,
Efke 100,D-76,1+3,100,13,13,13,20C,<a href="devchart.php?devrow=8248">[notes]</a>
Efke 100,Eco Pro,1+2,64,8:30,8:30,8:30,20C,
Efke 100,Eco Pro,1+2,80,11:45,11:45,11:45,20C,
Efke 100,Eco Pro,stock,100,8-9,8-9,8-9,20C,
Efke 100,Eco Pro,stock,100,6,6,6,20C,<a href="devchart.php?devrow=12757">[notes]</a>
Efke 100,Emofin,stock,100,4+4,4+4,4+4,20C,
Efke 100,Emofin,stock,400,4+4,4+4,4+4,20C,<a href="devchart.php?devrow=4679">[notes]</a>
Efke 100,F76+,1+4,64,12,12,12,20C,
Efke 100,F76+,1+9,100,13:30,13:30,13:30,20C,<a href="devchart.php?devrow=457">[notes]</a>
Efke 100,F76+,1+19,100,22:30,22:30,22:30,20C,<a href="devchart.php?devrow=458">[notes]</a>
Efke 100,Finol,1+1+100,80,13:30,13:30,13:30,24C,
Efke 100,Fomadon LQN,1+10,100,9,9,9,20C,
Efke 100,Fomadon R09,1+100,100,19,19,19,20C,
Efke 100,FX-39,1+9,100,7,7,7,20C,<a href="devchart.php?devrow=460">[notes]</a>
Efke 100,FX-39,1+14,100,11,11,11,20C,<a href="devchart.php?devrow=461">[notes]</a>
Efke 100,HC-110,B,100,6:15,6:15,6:15,18C,<a href="devchart.php?devrow=5526">[notes]</a>
Efke 100,HC-110,B,100,5:30,5:30,6,20C,<a href="devchart.php?devrow=463">[notes]</a>
Efke 100,HC-110,H,100,11,11,11,20C,<a href="devchart.php?devrow=4984">[notes]</a>
Efke 100,ID-11,stock,100,7,7,7,20C,
Efke 100,ID-11,1+1,100,10,10,10,20C,
Efke 100,ID-11,1+3,100,16,16,16,20C,
Efke 100,Ilfosol 3,1+9,100,5:30,5:30,5:30,20C,
Efke 100,Ilfosol 3,1+14,100,8,8,8,20C,
Efke 100,Ilfotec DD-X,1+4,100,7,7,7,20C,<a href="devchart.php?devrow=4732">[notes]</a>
Efke 100,Ilfotec DD-X,1+7,100,12:30,12:30,12:30,20C,
Efke 100,Ilfotec DD-X,1+9,100,13,13,13,20C,<a href="devchart.php?devrow=4734">[notes]</a>
Efke 100,Ilfotec DD-X,1+7,130,16,16,16,20C,
Efke 100,Ilfotec LC29,1+19,100,6,6,6,20C,
Efke 100,Ilfotec LC29,1+29,100,11,11,11,20C,
Efke 100,Microdol-X,1+3,100,17,17,17,25C,
Efke 100,Microphen,1+3,100,18,18,18,21C,
Efke 100,Neofin Blue,stock,100,8,8,8,20C,<a href="devchart.php?devrow=470">[notes]</a>
Efke 100,Neofin Blue,stock,100,15,15,15,20C,<a href="devchart.php?devrow=469">[notes]</a>
Efke 100,PC-TEA,1+50,100,10:30,10:30,10:30,20C,<a href="devchart.php?devrow=5468">[notes]</a>
Efke 100,Perceptol,1+3,50,23,23,23,20C,
Efke 100,PMK,1+2+100,50,12,12,12,21C,<a href="devchart.php?devrow=8193">[notes]</a>
Efke 100,PMK,1+2+100,100,10,10,10,20C,<a href="devchart.php?devrow=472">[notes]</a>
Efke 100,Pyrocat-HD,2+2+100,100,8,8,8,20C,
Efke 100,Rodinal,1+50,50,9,9,9,20C,
Efke 100,Rodinal,1+25,80,5,5,5,20C,
Efke 100,Rodinal,1+25,100,6,6,6,20C,
Efke 100,Rodinal,1+50,100,10,10,10,20C,
Efke 100,Rodinal,1+75,100,13:30,13:30,13:30,20C,
Efke 100,Rodinal,1+100,100,16,16,16,20C,
Efke 100,Rodinal,1+25,160,8,8,8,20C,
Efke 100,Rodinal,1+50,200,14,14,14,20C,
Efke 100,Rodinal,1+25,400,13:30,13:30,13:30,20C,
Efke 100,Rodinal,1+50,400,24,24,24,20C,
Efke 100,Rodinal,1+75,400,19:30,19:30,19:30,20C,<a href="devchart.php?devrow=8288">[notes]</a>
Efke 100,Sprint Standard,1+9,100,10,10,10,20C,
Efke 100,Studional,1+60,800,60,60,60,21C,<a href="devchart.php?devrow=8785">[notes]</a>
Efke 100,Tanol,1+1+100,80,14,14,14,22C,<a href="devchart.php?devrow=4753">[notes]</a>
Efke 100,Tanol,2+3+130,100,12,12,12,20C,<a href="devchart.php?devrow=4755">[notes]</a>
Efke 100,TMax Dev,1+4,100,7,7,7,20C,
Efke 100,TMax Dev,1+9,100,6,6,6,24C,
Efke 100,TMax RS,stock,80,4,4,4,20C,
Efke 100,TMax RS,stock,100,6,6,6,20C,
Efke 100,Ultrafin,1+10,100,3:30,3:30,3:30,20C,<a href="devchart.php?devrow=485">[notes]</a>
Efke 100,Ultrafin,1+20,100,5,5,5,20C,<a href="devchart.php?devrow=486">[notes]</a>
Efke 100,Ultrafin,1+30,100,7,7,7,20C,<a href="devchart.php?devrow=487">[notes]</a>
Efke 100,WD2D+,stock,100,9:30,9:30,9:30,20C,
Efke 100,XT-3,1+2,64,8:30,8:30,8:30,20C,
Efke 100,XT-3,1+2,80,11:45,11:45,11:45,20C,
Efke 100,XT-3,stock,100,6,6,6,20C,<a href="devchart.php?devrow=16056">[notes]</a>
Efke 100,XT-3,stock,100,8-9,8-9,8-9,20C,
Efke 100,Xtol,1+2,64,8:30,8:30,8:30,20C,
Efke 100,Xtol,1+2,80,11:45,11:45,11:45,20C,
Efke 100,Xtol,stock,100,8-9,8-9,8-9,20C,
Efke 100,Xtol,stock,100,6,6,6,20C,<a href="devchart.php?devrow=9624">[notes]</a>
Efke IR820,Bellini DF2 Duo Step,stock,100,,4+3,,20C,
Efke IR820,D-76,stock,n/a,8,8,8,20C,
Efke IR820,D-76,stock,3,,8:45,,20C,
Efke IR820,Diafine,stock,100,,4+3,,20C,
Efke IR820,Eco Pro,1+2,n/a,16,16,16,20C,
Efke IR820,Eco Pro,1+1,4,14,,,20C,<a href="devchart.php?devrow=13366">[notes]</a>
Efke IR820,Eco Pro,1+3,12,14,14,14,20C,<a href="devchart.php?devrow=12925">[notes]</a>
Efke IR820,Eco Pro,1+3,15,14,14,14,20C,<a href="devchart.php?devrow=12926">[notes]</a>
Efke IR820,Eco Pro,1+2,200,20,20,20,20C,
Efke IR820,Ecoprint Universal,1+12,n/a,6,6,6,20C,
Efke IR820,F76+,1+9,100,14,14,14,20C,<a href="devchart.php?devrow=5284">[notes]</a>
Efke IR820,Finol,1+1+100,12,14,14,,24C,<a href="devchart.php?devrow=8548">[notes]</a>
Efke IR820,FX-39,1+14,64,,11,,20C,
Efke IR820,HC-110,B,n/a,7,7,7,20C,<a href="devchart.php?devrow=5285">[notes]</a>
Efke IR820,HC-110,H,1.5,15,,,20C,<a href="devchart.php?devrow=8729">[notes]</a>
Efke IR820,HC-110,B,100,,7:30,,20C,<a href="devchart.php?devrow=5323">[notes]</a>
Efke IR820,ID-11,stock,n/a,8,8,8,20C,
Efke IR820,Ilfosol 3,1+9,n/a,5:30,5:30,,20C,
Efke IR820,Ilfotec DD-X,1+4,3,,11:30,,20C,
Efke IR820,Ilfotec DD-X,1+4,12,10,11,,20C,<a href="devchart.php?devrow=5372">[notes]</a>
Efke IR820,Ilfotec HC,1+5,n/a,7,7,7,20C,
Efke IR820,Microdol-X,stock,64,,15,,22C,
Efke IR820,Microphen,stock,n/a,7,7,7,20C,
Efke IR820,Microphen,1+1,6,,13,,20C,<a href="devchart.php?devrow=8142">[notes]</a>
Efke IR820,Nucleol BF200,20+15+965,4,12,,,20C,<a href="devchart.php?devrow=13540">[notes]</a>
Efke IR820,Perceptol,stock,n/a,10,10,10,20C,
Efke IR820,Perceptol,stock,3,,12,,20C,
Efke IR820,PMK,2+4+100,6,13,13,,21C,<a href="devchart.php?devrow=5295">[notes]</a>
Efke IR820,Promicrol,1+9,100,6,6,6,20C,
Efke IR820,Promicrol,1+9,100,4,4,4,24C,
Efke IR820,Promicrol,1+14,100,8:30,8:30,8:30,20C,
Efke IR820,Promicrol,1+14,100,5:45,5:45,5:45,24C,
Efke IR820,Pyrocat-HD,1+1+100,100,9:30,,,20C,<a href="devchart.php?devrow=8246">[notes]</a>
Efke IR820,Rodinal,1+25,n/a,9,9,9,20C,
Efke IR820,Rodinal,1+50,1.5,,,14,20C,<a href="devchart.php?devrow=8331">[notes]</a>
Efke IR820,Rodinal,1+50,3,,11,,20C,<a href="devchart.php?devrow=8332">[notes]</a>
Efke IR820,Rodinal,1+50,4,,11,,20C,<a href="devchart.php?devrow=5300">[notes]</a>
Efke IR820,Tanol,1+1+100,3,,,14:30,20C,<a href="devchart.php?devrow=12072">[notes]</a>
Efke IR820,Tanol,1+1+100,6,,,14:30,20C,<a href="devchart.php?devrow=12073">[notes]</a>
Efke IR820,Tanol,1+1+100,40,,,14:30,20C,<a href="devchart.php?devrow=5309">[notes]</a>
Efke IR820,Tanol,1+1+100,50,14:30,14:30,,20C,<a href="devchart.php?devrow=5308">[notes]</a>
Efke IR820,Tanol,1+1+100,250,14:30,14:30,,24C,<a href="devchart.php?devrow=5310">[notes]</a>
Efke IR820,TMax Dev,1+4,n/a,7,7,7,20C,
Efke IR820,Ultrafin,1+10,n/a,8,8,8,20C,<a href="devchart.php?devrow=5303">[notes]</a>
Efke IR820,Ultrafin,1+20,n/a,11,11,11,20C,<a href="devchart.php?devrow=5304">[notes]</a>
Efke IR820,XT-3,1+2,n/a,16,16,16,20C,
Efke IR820,XT-3,1+1,4,14,,,20C,<a href="devchart.php?devrow=16139">[notes]</a>
Efke IR820,XT-3,1+3,12,14,14,14,20C,<a href="devchart.php?devrow=15913">[notes]</a>
Efke IR820,XT-3,1+3,15,14,14,14,20C,<a href="devchart.php?devrow=15912">[notes]</a>
Efke IR820,XT-3,1+2,200,20,20,20,20C,
Efke IR820,Xtol,1+2,n/a,16,16,16,20C,
Efke IR820,Xtol,1+1,4,14,,,20C,<a href="devchart.php?devrow=7600">[notes]</a>
Efke IR820,Xtol,1+3,12,14,14,14,20C,<a href="devchart.php?devrow=11880">[notes]</a>
Efke IR820,Xtol,1+3,15,14,14,14,20C,<a href="devchart.php?devrow=11881">[notes]</a>
Efke IR820,Xtol,1+2,200,20,20,20,20C,
ERA 100,Bellini DF2 Duo Step,stock,200,3+3,,,20C,
ERA 100,Caffenol C,stock,100,13,,,20C,
ERA 100,D-23,stock,100,6-10,,,20C,
ERA 100,D-23,1+2,100,21,,,20C,<a href="devchart.php?devrow=8146">[notes]</a>
ERA 100,D-76,stock,100,8,,,20C,
ERA 100,D-76,stock,200,12,,,20C,
ERA 100,D-76,stock,400,18,,,20C,
ERA 100,Diafine,stock,200,3+3,,,20C,
ERA 100,DiXactol Ultra,1+7+300,100,,,10,21C,<a href="devchart.php?devrow=8781">[notes]</a>
ERA 100,Eco Pro,1+1,100,9,,,20C,
ERA 100,Emofin,stock,100,5+5,,,21C,
ERA 100,HC-110,B,80,,,5,20C,<a href="devchart.php?devrow=5324">[notes]</a>
ERA 100,HC-110,B,100,6:30-7,,,20C,<a href="devchart.php?devrow=5268">[notes]</a>
ERA 100,HC-110,B,400,,,14,21C,<a href="devchart.php?devrow=8150">[notes]</a>
ERA 100,ID-11,stock,100,8,,,20C,
ERA 100,ID-11,stock,200,12,,,20C,
ERA 100,ID-11,stock,400,18,,,20C,
ERA 100,Ilfotec DD-X,1+4,100,9,,,20C,
ERA 100,Ilfotec LC29,1+58,100,15:30,,,20C,<a href="devchart.php?devrow=5528">[notes]</a>
ERA 100,PMK,1+2+100,100,8,,,21C,<a href="devchart.php?devrow=5399">[notes]</a>
ERA 100,Pyrocat-HD,1+1+100,50,,,9:30,20C,
ERA 100,Rodinal,1+50,100,14,,,20C,
ERA 100,XT-3,1+1,100,9,,,20C,
ERA 100,Xtol,1+1,100,9,,,20C,
ERA PSS 45 Pan,Rodinal,1+100,100,,,60,20C,<a href="devchart.php?devrow=8167">[notes]</a>
Etude Pan 400,D-76,stock,400,8,,,20C,
Etude Pan 400,D-76,1+1,400,13,,,20C,
Etude Pan 400,Eco Pro,stock,400,7,,,20C,
Etude Pan 400,HC-110,B,400,7,,,20C,<a href="devchart.php?devrow=14919">[notes]</a>
Etude Pan 400,HC-110,H,400,13,,,20C,<a href="devchart.php?devrow=14920">[notes]</a>
Etude Pan 400,ID-11,stock,400,8,,,20C,
Etude Pan 400,ID-11,1+1,400,13,,,20C,
Etude Pan 400,XT-3,stock,400,7,,,20C,
Etude Pan 400,Xtol,stock,400,7,,,20C,
Ferrania P30,510-Pyro,1+100,80,13:30,,,20C,
Ferrania P30,Ars-Imago FE,1+1,80,9,,,20C,
Ferrania P30,D-76,stock,50,8,,,20C,<a href="devchart.php?devrow=11715">[notes]</a>
Ferrania P30,D-76,stock,50,11,,,21C,<a href="devchart.php?devrow=11718">[notes]</a>
Ferrania P30,D-76,1+1,50,13,,,20C,<a href="devchart.php?devrow=11719">[notes]</a>
Ferrania P30,D-76,stock,80,9,,,20C,<a href="devchart.php?devrow=11716">[notes]</a>
Ferrania P30,D-76,stock,80,7,,,20C,
Ferrania P30,D-76,1+1,80,13:30,,,20C,
Ferrania P30,D-76,1+3,80,30,,,20C,<a href="devchart.php?devrow=11720">[notes]</a>
Ferrania P30,D-96,stock,50,8,,,21C,<a href="devchart.php?devrow=11727">[notes]</a>
Ferrania P30,D-96,stock,80,8,,,20C,<a href="devchart.php?devrow=12354">[notes]</a>
Ferrania P30,Eco Pro,stock,80,9,,,20C,
Ferrania P30,Eco Pro,stock,80,10,,,22C,<a href="devchart.php?devrow=17904">[notes]</a>
Ferrania P30,Eco Pro,1+1,80,12,,,20C,
Ferrania P30,Eco Pro,1+3,80,16,,,20C,<a href="devchart.php?devrow=12718">[notes]</a>
Ferrania P30,FF No 1 Monobath,1+50,80,6,,,21C,<a href="devchart.php?devrow=12356">[notes]</a>
Ferrania P30,HC-110,B,80,5,,,20C,<a href="devchart.php?devrow=11729">[notes]</a>
Ferrania P30,HC-110,H,80,12,,,20C,<a href="devchart.php?devrow=11728">[notes]</a>
Ferrania P30,ID-11,stock,50,8,,,20C,<a href="devchart.php?devrow=11721">[notes]</a>
Ferrania P30,ID-11,stock,50,11,,,21C,<a href="devchart.php?devrow=11724">[notes]</a>
Ferrania P30,ID-11,1+1,50,13,,,20C,<a href="devchart.php?devrow=11725">[notes]</a>
Ferrania P30,ID-11,stock,80,7,,,20C,
Ferrania P30,ID-11,stock,80,9,,,20C,<a href="devchart.php?devrow=11722">[notes]</a>
Ferrania P30,ID-11,1+1,80,13:30,,,20C,
Ferrania P30,ID-11,1+3,80,30,,,20C,<a href="devchart.php?devrow=11726">[notes]</a>
Ferrania P30,Ilfosol 3,1+9,80,6,,,20C,<a href="devchart.php?devrow=11712">[notes]</a>
Ferrania P30,Ilfotec DD,1+4,80,11,,,24C,<a href="devchart.php?devrow=12358">[notes]</a>
Ferrania P30,Ilfotec DD-X,1+5,50,7:30,,,20C,<a href="devchart.php?devrow=11710">[notes]</a>
Ferrania P30,Ilfotec DD-X,1+6,80,15,,,20.5C,<a href="devchart.php?devrow=11711">[notes]</a>
Ferrania P30,Microdol-X,1+3,80,15,,,22C,
Ferrania P30,Microphen,1+3,80,17,,,20C,<a href="devchart.php?devrow=11714">[notes]</a>
Ferrania P30,Paranol S,1+50,80,14,,,20C,
Ferrania P30,POTA,stock,80,11,,,20C,<a href="devchart.php?devrow=17902">[notes]</a>
Ferrania P30,Promicrol,1+14,50,8:30,,,20.5C,<a href="devchart.php?devrow=11733">[notes]</a>
Ferrania P30,Promicrol,1+9,80,8,,,20C,<a href="devchart.php?devrow=11732">[notes]</a>
Ferrania P30,Rodinal,1+25,80,8,,,20C,
Ferrania P30,Rodinal,1+50,80,14,,,20C,
Ferrania P30,Rodinal,1+80,80,16:30,,,19C,
Ferrania P30,Rodinal,1+100,80,60,,,20C,<a href="devchart.php?devrow=11735">[notes]</a>
Ferrania P30,Rollei Supergrain,1+12,80,7:30,,,20C,
Ferrania P30,Silvermax,1+29,50,8:30,,,20C,
Ferrania P30,Silvermax,1+29,80,11,,,20C,<a href="devchart.php?devrow=13431">[notes]</a>
Ferrania P30,TMax Dev,1+6,80,7,,,24C,<a href="devchart.php?devrow=11730">[notes]</a>
Ferrania P30,XT-3,stock,80,9,,,20C,
Ferrania P30,XT-3,1+1,80,12,,,20C,
Ferrania P30,XT-3,1+3,80,16,,,20C,<a href="devchart.php?devrow=15978">[notes]</a>
Ferrania P30,Xtol,stock,80,9,,,20C,
Ferrania P30,Xtol,stock,80,10,,,22C,<a href="devchart.php?devrow=17903">[notes]</a>
Ferrania P30,Xtol,1+1,80,12,,,20C,
Ferrania P30,Xtol,1+3,80,16,,,20C,<a href="devchart.php?devrow=11731">[notes]</a>
Filmotec DP-3,D-76,stock,6,8,,,20C,
Filmotec DP-3,D-96,stock,6,5-8,,,21C,
Filmotec DP-3,Eco Pro,1+1,6,8:30,,,20C,
Filmotec DP-3,Eco Pro,1+1,12,12-13,,,20C,
Filmotec DP-3,Eco Pro,stock,25,12,,,20C,
Filmotec DP-3,Eco Pro,1+1,25,22,,,20C,
Filmotec DP-3,HC-110,B,6,10,,,20.5C,<a href="devchart.php?devrow=17426">[notes]</a>
Filmotec DP-3,ID-11,stock,6,8,,,20C,
Filmotec DP-3,Ornano Gradual ST20,stock,10,5:30,,,20C,
Filmotec DP-3,Xtol,1+1,6,8:30,,,20C,
Filmotec DP-3,Xtol,1+1,12,12-13,,,20C,
Filmotec DP-3,Xtol,stock,25,12,,,20C,
Filmotec DP-3,Xtol,1+1,25,22,,,20C,
Fomapan 100,510-Pyro,1+100,50,8,8,8,20C,<a href="devchart.php?devrow=9441">[notes]</a>
Fomapan 100,510-Pyro,1+100,80,10:30,10:30,10:30,20C,<a href="devchart.php?devrow=16774">[notes]</a>
Fomapan 100,510-Pyro,1+100,100,7,7,7,20C,
Fomapan 100,510-Pyro,1+100,100,9,9,9,22C,<a href="devchart.php?devrow=4997">[notes]</a>
Fomapan 100,510-Pyro,1+500,100,60,60,60,22C,<a href="devchart.php?devrow=4996">[notes]</a>
Fomapan 100,510-Pyro,1+100,200,18:30,18:30,18:30,20C,<a href="devchart.php?devrow=16951">[notes]</a>
Fomapan 100,Acufine,stock,100,3:30,3:30,3:30,20C,
Fomapan 100,Acurol-N,1+50,80,9,9,9,20C,<a href="devchart.php?devrow=9739">[notes]</a>
Fomapan 100,Acurol-N,1+50,100,10,10,10,20C,<a href="devchart.php?devrow=9738">[notes]</a>
Fomapan 100,Acurol-N,1+50,125,11,11,11,20C,<a href="devchart.php?devrow=9704">[notes]</a>
Fomapan 100,Adox HR-DEV,1+40,100,12,12,12,20C,<a href="devchart.php?devrow=13801">[notes]</a>
Fomapan 100,ADX II,1+24,100,7-7:30,7-7:30,7-7:30,20C,
Fomapan 100,Agfa 14,1+1,50,14,14,14,20C,
Fomapan 100,Amaloco AM74,1+15,100,6:30,6:30,6:30,20C,
Fomapan 100,Arista Premium,1+9,100,7,7,7,20C,
Fomapan 100,Ars-Imago FD,1+39,100,6:30,6:30,6:30,20C,
Fomapan 100,Ars-Imago FE,1+1,100,6,6,6,20C,
Fomapan 100,Atomal 49,stock,100,6-8,6-8,6-8,20C,
Fomapan 100,Atomal 49,1+1,100,13,13,13,20C,
Fomapan 100,Atomal 49,1+2,100,17,17,17,20C,
Fomapan 100,Atomal 49,3+2,100,6,6,6,23C,
Fomapan 100,Bellini DF2 Duo Step,stock,100,4+4,4+4,4+4,20C,
Fomapan 100,Bellini DF2 Duo Step,stock,200,3+3,3+3,3+3,20C,
Fomapan 100,Bellini FX6a Monobath,stock,100,9:30,9:30,9:30,20C,
Fomapan 100,Bellini Hydrofen,1+31,100,10,10,10,20C,
Fomapan 100,Berspeed,1+1,100,8,8,8,20C,
Fomapan 100,Berspeed,1+1,100,6,6,6,24C,
Fomapan 100,Beutler,1+1+8,100,10,10,10,20C,
Fomapan 100,Beutler-Pyro,10+10+978+2,100,10,10,10,22C,
Fomapan 100,Black/White &amp; Green,1+49,100,11:45,11:45,11:45,20C,
Fomapan 100,Caffenol C,stock,100,17,17,30,20C,
Fomapan 100,Caffenol C-H (rs),stock,100,12:30,12:30,12:30,20C,
Fomapan 100,Caffenol C-L,stock,100,25,25,25,20C,<a href="devchart.php?devrow=15558">[notes]</a>
Fomapan 100,Caffenol C-M,stock,200,15,15,15,20C,
Fomapan 100,Cawanol,stock,100,17,17,17,20C,
Fomapan 100,D-23,stock,100,11,11,11,20C,
Fomapan 100,D-23,stock,200,15,15,15,20C,
Fomapan 100,D-72,1+2,100,4,4,4,20C,<a href="devchart.php?devrow=16982">[notes]</a>
Fomapan 100,D-76,stock,100,6-7,6-7,6-7,20C,
Fomapan 100,D-76,1+1,100,10,10,10,20C,
Fomapan 100,D-76,1+3,100,17,17,17,20C,
Fomapan 100,D-76,1+1,200,14,14,14,20C,
Fomapan 100,D-76,1+1,200,10,10,10,23C,<a href="devchart.php?devrow=5494">[notes]</a>
Fomapan 100,D-76,1+1,400,18,18,18,20C,
Fomapan 100,D-76,1+3,400,28,28,28,23.5C,
Fomapan 100,D-96,stock,100,8,8,8,20C,
Fomapan 100,Diafine,stock,100,4+4,4+4,4+4,20C,
Fomapan 100,Diafine,stock,200,3+3,3+3,3+3,20C,
Fomapan 100,DK-76b,1+1,100,,,5:30,20C,<a href="devchart.php?devrow=10392">[notes]</a>
Fomapan 100,Eco Pro,stock,100,5-6,5-6,5-6,20C,
Fomapan 100,Eco Pro,1+1,100,8,8,8,20C,
Fomapan 100,Eco Pro,1+1,100,6:30,6:30,6:30,20C,<a href="devchart.php?devrow=15590">[notes]</a>
Fomapan 100,Eco Pro,1+3,100,10,10,10,21C,
Fomapan 100,Eco Pro,1+3,100,11,11,11,23C,<a href="devchart.php?devrow=15515">[notes]</a>
Fomapan 100,Eco Pro,1+2,125,9,9,9,20C,
Fomapan 100,Eco Pro,stock,400,6:30,6:30,6:30,25C,
Fomapan 100,Eco Pro,1+1,400,11:30,11:30,11:30,20C,
Fomapan 100,F76+,1+9,100,7,7,7,20C,
Fomapan 100,FA-1027,1+14,100,9,9,9,20C,<a href="devchart.php?devrow=14812">[notes]</a>
Fomapan 100,FD10,1+9,100,8,8,8,20C,
Fomapan 100,FD10,1+14,100,9,9,9,20C,
Fomapan 100,Foma Retro Special,stock,100,4,4,4,20C,
Fomapan 100,Foma Universal,1+3,100,5,5,5,20C,<a href="devchart.php?devrow=9593">[notes]</a>
Fomapan 100,Foma W-17 Hydrofen,1+1,100,5:30,5:30,5:30,20C,
Fomapan 100,Fomadon Excel,stock,100,5-6,5-6,5-6,20C,
Fomapan 100,Fomadon Excel,1+1,100,8-9,8-9,8-9,20C,<a href="devchart.php?devrow=9579">[notes]</a>
Fomapan 100,Fomadon LQN,1+10,100,7-8,7-8,7-8,20C,
Fomapan 100,Fomadon LQN,1+10,100,18,18,18,20C,<a href="devchart.php?devrow=5596">[notes]</a>
Fomapan 100,Fomadon LQN,1+14,100,9-10,9-10,9-10,20C,
Fomapan 100,Fomadon LQN,1+10,200,7-8,7-8,7-8,20C,
Fomapan 100,Fomadon LQN,1+14,800,23,23,23,19C,<a href="devchart.php?devrow=14548">[notes]</a>
Fomapan 100,Fomadon LQN,1+14,3200,42,42,42,20C,<a href="devchart.php?devrow=14547">[notes]</a>
Fomapan 100,Fomadon LQR,1+10,100,5-6,5-6,5-6,20C,
Fomapan 100,Fomadon LQR,1+10,400,12,12,12,20C,
Fomapan 100,Fomadon P,stock,100,7-8,7-8,7-8,20C,
Fomapan 100,Fomadon R09,1+50,64,10:30,10:30,10:30,18C,
Fomapan 100,Fomadon R09,1+50,64,9,9,9,20C,
Fomapan 100,Fomadon R09,1+25,100,4,4,4,20C,
Fomapan 100,Fomadon R09,1+50,100,9,9,9,20C,
Fomapan 100,FX-18,1+1,100,10,10,10,20C,
Fomapan 100,FX-39,1+9,100,7,7,7,20C,
Fomapan 100,FX-39,1+9,400,11,11,11,20C,
Fomapan 100,FX-39,1+7,1600,10:30,10:30,10:30,20C,
